room_id	host_id	room_type	country	city	neighborhood	reviews	overall_satisfaction	accommodates	bedrooms	price	property_type
10047973	48528719	Shared room	France	Paris	Gare	1	0.0	4	1.0	108.0	Apartment
2864617	4531179	Shared room	France	Paris	Villette	32	4.0	5	1.0	59.0	Apartment
5862381	30438981	Shared room	France	Paris	Saint-Georges	0	0.0	2	1.0	121.0	Apartment
17197886	115781027	Shared room	France	Paris	Necker	0	0.0	3	1.0	93.0	Apartment
16103729	77134343	Shared room	France	Paris	Villette	4	4.5	4	1.0	100.0	Apartment
7027668	36842314	Shared room	France	Paris	Notre-Dame-des-Champs	29	3.5	2	1.0	91.0	Apartment
11663141	10097790	Shared room	France	Paris	Muette	0	0.0	2	1.0	67.0	Apartment
1725709	8202138	Shared room	France	Paris	Maison-Blanche	4	5.0	2	1.0	65.0	Apartment
8006501	25948689	Shared room	France	Paris	Saint-Ambroise	7	5.0	2	1.0	82.0	Apartment
7178563	13689310	Shared room	France	Paris	Saint-Vincent-de-Paul	1	0.0	2	1.0	72.0	Apartment
8484250	44683350	Shared room	France	Paris	Grandes-Carrières	10	5.0	2	1.0	72.0	Bed & Breakfast
19165802	47873432	Shared room	France	Paris	Belleville	1	0.0	2	1.0	46.0	Apartment
11270024	15773597	Shared room	France	Paris	Plaine-Monceau	3	4.5	2	1.0	47.0	Apartment
8679400	22644603	Shared room	France	Paris	Villette	3	4.5	2	1.0	48.0	Apartment
8716052	3555986	Shared room	France	Paris	Goutte-dOr	7	4.5	2	1.0	48.0	Apartment
14417600	25000833	Shared room	France	Paris	Grenelle	0	0.0	2	1.0	42.0	Apartment
4912073	25118143	Shared room	France	Paris	Saint-Lambert	0	0.0	2	1.0	61.0	Apartment
4992753	21152671	Shared room	France	Paris	Plaine-Monceau	4	4.0	2	1.0	57.0	Apartment
12150107	30765601	Shared room	France	Paris	Saint-Fargeau	0	0.0	2	1.0	40.0	Apartment
12355517	5746707	Shared room	France	Paris	Amérique	0	0.0	4	1.0	36.0	Apartment
15111499	95729658	Shared room	France	Paris	Maison-Blanche	3	4.5	2	1.0	32.0	Apartment
7216654	8186525	Shared room	France	Paris	Saint-Fargeau	21	5.0	2	1.0	39.0	Apartment
5899522	3557601	Shared room	France	Paris	Villette	1	0.0	2	1.0	36.0	Apartment
19569241	33183335	Shared room	France	Paris	Auteuil	1	0.0	2	1.0	40.0	Apartment
19511953	9645784	Shared room	France	Paris	Plaisance	0	0.0	2	1.0	181.0	Apartment
19627977	6193270	Shared room	France	Paris	Saint-Fargeau	0	0.0	5	1.0	181.0	Townhouse
8453575	44500136	Shared room	France	Paris	Saint-Ambroise	0	0.0	1	1.0	158.0	Apartment
18513353	7540698	Shared room	France	Paris	Goutte-dOr	1	0.0	2	1.0	109.0	Apartment
13620030	78881356	Shared room	France	Paris	Roquette	0	0.0	2	1.0	121.0	Apartment
18369140	35001234	Shared room	France	Paris	Grenelle	1	0.0	1	1.0	109.0	Apartment
9353769	48454470	Shared room	France	Paris	Saint-Vincent-de-Paul	1	0.0	1	1.0	121.0	House
9467975	14964937	Shared room	France	Paris	Saint-Victor	0	0.0	1	1.0	121.0	Apartment
15673375	320385	Shared room	France	Paris	Roquette	1	0.0	1	1.0	121.0	Apartment
7728000	15270308	Shared room	France	Paris	Grenelle	0	0.0	1	1.0	121.0	Apartment
1381312	2914143	Shared room	France	Paris	Batignolles	1	0.0	2	1.0	121.0	Apartment
